"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s13" 320 12 868 296 0 0 76 3 0 14 0 7 97 0 0 0 0 0 0 0 0 0 0 0 0 0 4 206 0 0 256 54 0 0 0 177 0 0 0 2251 0 0 15 1175 1 47 3 0 0 6
"s14" 0 15 0 0 3 113 0 0 0 0 10 3 0 42 26 1208 3 0 16 0 54 0 49 4 29 0 0 0 6 0 0 0 4 11 561 0 1400 0 0 0 5 0 0 0 0 0 0 8 12 0
"s15" 48 0 0 0 0 0 0 3215 0 3293 43 12 0 9 0 39 0 0 0 2197 0 0 12 0 0 19 22 3 0 4 0 59 0 260 14 15 121 0 0 0 7 24 13 18 1 0 0 121 0 0
"s16" 0 1125 4 2162 0 218 403 0 0 0 0 0 199 32 38 0 0 8 10 0 0 0 0 450 13 0 0 0 56 4 0 0 0 0 0 0 154 0 291 71 8 0 0 102 0 5 0 0 105 2
"s17" 0 7 2 74 36 0 0 0 23 0 0 1 1 31 0 13 0 2126 21 10 1933 0 152 0 29 2470 6 0 0 0 14 46 5 0 18 0 171 0 0 0 15 0 77 0 5 7 1415 4 122 4207
"s18" 32 2661 2 159 0 0 0 3 0 0 0 0 1985 0 0 8 0 0 126 0 0 0 0 168 83 0 239 226 0 0 0 435 0 0 0 0 0 0 0 0 383 349 144 49 0 1662 0 0 0 0
"s19" 8 0 324 0 2 0 0 98 2 0 0 0 0 49 91 0 0 0 118 0 12 3 0 22 1961 19 1379 0 25 55 4 0 9 483 327 21 0 0 6 0 0 226 391 354 14 0 6 0 240 0
"s20" 409 0 2760 0 0 99 0 0 0 25 17 4 149 0 0 0 0 101 0 0 0 0 46 116 0 0 0 0 0 416 91 3703 0 3513 0 0 8 23 3 5 3069 0 0 0 0 7 1600 1082 5 0
"s21" 20 0 0 152 0 0 9 0 7 10 29 428 0 2 0 0 0 0 0 0 31 0 0 0 47 0 18 0 24 27 0 4 21 0 6 0 59 73 3 0 7 5 0 0 0 0 3 46 75 10
"s22" 0 17 24 117 25 0 0 0 28 40 0 1414 0 0 16 0 0 540 4 6 93 0 20 0 0 81 4 1 0 395 0 0 0 4 276 0 456 6 38 63 18 0 0 13 0 46 0 11 0 0
"s23" 14 0 31 11 2667 103 22 0 0 0 2231 0 0 82 25 10 1 27 0 1450 0 0 871 2963 0 5 0 157 3 0 14 0 0 0 336 0 22 0 778 84 372 1141 0 0 0 0 10 185 16 1
"s24" 134 32 0 0 0 0 0 35 0 69 0 4 815 18 0 1091 0 0 0 0 13 0 0 0 0 0 0 0 0 243 0 0 0 0 0 48 894 0 0 0 0 0 0 0 2 0 0 0 0 0
"s25" 0 0 47 692 0 0 0 0 39 37 201 93 3 150 15 7 0 24 36 0 44 1 149 0 16 0 0 1 15 76 0 49 48 2 1140 33 31 0 947 2 128 36 11 126 431 0 0 111 418 3
"s26" 8 0 14 116 1 0 8 0 4 204 38 112 6 741 67 0 0 26 8 12 14 0 89 0 0 0 1 2 20 21 0 7 10 4 242 139 10 0 180 10 35 154 0 313 2033 7 0 579 353 2
"s27" 6 46 3 162 29 0 19 24 10 28 19 221 0 253 1 11 707 141 0 11 16 0 18 0 969 8 343 16 15 0 0 11 4 5 368 57 0 1527 26 307 220 865 1315 67 0 9 18 68 37 2
"s28" 13 244 3 72 8 0 102 7 3 1 6 49 1 75 3 29 3642 52 0 25 91 1 89 0 195 35 147 6 17 7 0 50 0 1 70 338 6 294 9 81 46 193 493 347 2 3 22 145 169 0
"s29" 0 12 59 12 450 108 41 0 0 21 15 0 5 310 0 11 126 54 2 2 39 3723 95 294 44 66 0 41 0 90 43 36 43 9 8 2838 0 1225 283 13 0 0 22 0 266 165 0 47 0 0
"s30" 0 36 223 49 82 538 7 8 0 96 40 0 13 1590 0 0 34 13 19 0 12 783 44 101 237 13 2 10 0 21 155 2 12 45 24 603 0 241 1317 7 0 7 0 0 1224 33 3 180 9 0
"s31" 0 41 8 34 0 22 507 2 32 85 0 2 83 116 107 21 0 25 309 43 64 0 2112 0 167 279 0 0 1 72 553 6 365 4 104 0 0 97 23 64 0 0 76 14 212 151 14 1047 418 12
"s32" 0 12 18 0 0 68 1952 20 13 432 0 15 16 25 67 23 0 50 61 8 260 0 458 0 77 963 0 0 0 416 2749 32 90 7 24 0 3 552 3 9 0 0 30 79 34 850 41 492 91 48
